,ID,ANO_NACIMIENTO,RAZA,PADRE,INTERPARTO,ovder,ovizq,utero,Efectividad
440,100086HO,2010,F1H,H0585,608,1,1,1,13.63636364
441,100087HO,2010,F1H,H0585,368,0,0,0,50.0
442,100088HO,2010,F1H,H0585,0,0,0,0,66.66666667
443,100089HO,2010,F1H,H0585,348,0,0,1,27.586206899999997
444,100090HO,2010,F1H,H0584,0,0,0,0,100.0
445,100091HO,2010,F1H,H0585,321,1,0,1,25.0
446,100092HO,2010,F1H,H0584,360,1,1,1,19.51219512
447,100093HO,2010,F1H,H0585,451,0,0,1,28.57142857
448,100094HO,2010,F1H,H0585,494,1,0,1,14.70588235
449,100096HO,2010,F1H,H0584,307,0,1,1,23.52941176
450,100097HO,2010,F1H,H0585,624,1,1,1,17.24137931
451,100098HO,2010,F1H,H0584,347,0,0,1,21.62162162
452,100099HO,2010,F1H,H0584,335,1,0,1,19.04761905
453,100100HO,2010,F1H,H0585,375,0,0,1,30.0
454,100101HO,2010,F1H,H0584,0,0,0,0,40.0
455,100102HO,2010,F1H,H0585,379,0,0,0,22.22222222
456,100103HO,2010,F1H,H0584,236,1,0,0,20.0
457,100104HO,2010,F1H,H0585,384,0,1,1,26.66666667
458,100104ME,2010,F1H,HOL,311,0,0,1,25.0
459,100105HO,2010,F1H,H0585,0,0,0,0,100.0
460,100106HO,2010,F1H,H0585,345,0,0,1,26.47058824
461,100107HO,2010,F1H,H0585,614,1,1,0,10.52631579
462,100108HO,2010,F1H,H0585,341,0,0,0,33.33333333
463,100109HO,2010,F1H,H0585,496,0,0,1,35.71428571
464,100110HO,2010,F1H,H0585,433,0,0,1,23.52941176
465,100111HO,2010,F1H,H0585,0,0,0,0,100.0
466,100113HO,2010,F1H,H0584,348,0,1,0,60.0
467,100114JE,2010,F1J,JE0761,351,0,0,0,100.0
468,100115HO,2010,F1H,H0584,0,0,0,0,100.0
469,100116JE,2010,F1J,J0778,372,1,1,1,18.51851852
470,100117HO,2010,F1H,H0584,344,0,1,0,28.57142857
471,100119CP,2010,F1H,BR,315,0,0,1,16.66666667
472,100119JE,2010,F1J,JE0778,522,0,0,1,20.0
473,100120HO,2010,F1H,H0584,428,0,0,0,50.0
474,100121HO,2010,F1H,H0584,370,0,0,1,33.33333333
475,100122HO,2010,F1H,H0584,0,0,0,0,14.28571429
476,100123HO,2010,F1H,H0584,0,0,0,0,33.33333333
478,100125HO,2010,F1H,H0584,0,0,0,0,16.66666667
479,100126HO,2010,F1H,H0584,0,0,0,0,66.66666667
480,100127JE,2010,F1J,JE0778,425,1,0,1,23.80952381
481,100129HO,2010,F1H,H0584,424,1,0,1,20.0
482,100130HO,2010,F1H,H0584,360,0,0,0,57.14285714
483,100131HO,2010,F1H,H0584,0,0,0,0,25.0
484,100132HO,2010,F1H,H0584,449,1,1,1,9.302325581
485,100134HO,2010,F1H,H0584,322,1,0,1,33.33333333
486,100135CP,2010,F1H,BR,0,1,1,1,22.22222222
487,100135HO,2010,F1H,H0584,321,0,1,0,28.57142857
488,100136HO,2010,F1H,H0584,515,1,0,1,15.78947368
489,100137HO,2010,F1H,H0584,513,0,0,0,30.0
490,100138HO,2010,F1H,H0584,0,1,0,0,20.0
491,100139HO,2010,F1H,H0584,0,0,0,0,30.0
492,100140HO,2010,F1H,H0584,0,0,0,0,42.85714286
493,100142HO,2010,F1H,H0584,478,0,0,0,28.57142857
