,ID,ANO_NACIMIENTO,RAZA,PADRE,INTERPARTO
674,100685HO,2010,F1H,H0589,453
675,100705HO,2010,F1H,H0778,0
676,100707HO,2010,F1H,H0778,0
677,100708HO,2010,F1H,H0778,493
678,100713HO,2010,F1H,H0589,0
679,100721HO,2010,F1H,H0585,646
680,100738HO,2010,F1H,H0778,0
681,100743HO,2010,F1H,H0681,436
682,100744HO,2010,F1H,H0589,498
683,100745HO,2010,F1H,H0589,416
684,100747HO,2010,F1H,H0589,327
685,100764HO,2010,F1H,H0778,671
686,100767HO,2010,F1H,H0778,520
687,100769HO,2010,F1H,H0585,350
688,100770HO,2010,F1H,H0778,347
689,100783HO,2010,F1H,H0584,381
690,100785HO,2010,F1H,H0589,302
691,100786HO,2010,F1H,H0778,358
692,100787HO,2010,F1H,H0585,0
693,100788HO,2010,F1H,H0585,398
694,100789HO,2010,F1H,H0589,0
695,100807HO,2010,F1H,H0585,0
696,100810HO,2010,F1H,H0778,0
697,100811HO,2010,F1H,H0589,0
698,100816HO,2010,F1H,H0585,0
699,100824HO,2010,F1H,H0681,428
700,100827HO,2010,F1H,H0681,588
701,100844HO,2010,EC,H0585,391
702,100845HO,2010,F1H,H0681,478
703,100853HO,2010,F1H,H0585,448
704,100856HO,2010,F1H,H0585,0
705,100859HO,2010,F1H,H0585,450
706,100862HO,2010,F1H,H0589,0
707,100870HO,2010,F1H,H0589,0
708,100886HO,2010,F1H,H0681,305
709,100887HO,2010,F1H,H0585,526
710,100889HO,2010,F1H,H0585,385
711,100890HO,2010,F1H,H0585,366
712,100898HO,2010,F1H,HOL,203
